Root Card|Desc
maj14|There are certain people who exude a kind of quiet composure. They may not say much, but they go about their business with an air of calm deliberation. Their presence is comforting because they are so centered. For me, this is the energy of Temperance.To be temperate is to show moderation and self-restraint. In a world full of enticing indulgences, it is often necessary to find the middle ground. Sensible, maybe, but also a bit boring? The energy of Temperance may seem unexciting on the surface, but it is the calm of a hurricane's eye. All around are swirling winds, but in the center is a still point that brings everything into balance.In readings, Temperance can represent a need for moderation, especially when extreme cards are present (such as the Knights). This card can also indicate a need for balance. In conflict situations, Temperance suggests that compromise and cooperation are vital. Look for any opportunity to bring opposing parties together. In fact, to temper can mean to modify by adding a new component. By combining and recombining, we come up with the ideal mixture or solution. Temperance is the card of good health in all areas - physical, mental and emotional. When illness or dis-ease is a concern, Temperance holds out the promise of vitality and well-being.See also the Fool's Journey.
maj15|Lucifer. Mephistopheles. Satan. The Prince of Darkness. No matter what we call him, the Devil is our symbol for what is bad and undesirable. From our human perspective, we see the world as a struggle between light and dark. We want to vanquish the bad so the good can prevail. In fact, good and bad cannot be separated, just as you cannot separate a shadow from its source. Darkness is simply the absence of light, and it is caused by errors that hide the truth. Card 15 shows us these errors.First is ignorance - not knowing the truth and not realizing that we do not know. Second is materialism - the belief that there is nothing but the physical. As spiritual beings, we long for the Divine, but we lose contact with this source of truth if we trust only our senses. There is also hopelessness, which robs us of our joy and movement toward the light. Traditionally the Devil stands for evil, but it does not have this rather frightening meaning in a reading. This card lets you know that you are caught in an unhealthy, unproductive situation. You may be in the dark about something - ignorant of the truth and its implications. You may be obsessed by a person, idea, substance or pattern that you know is bad for you (or maybe you don't!). Sometimes this card reflects back the negativity that has made you doubt yourself and your future. We are prone to many errors in life. Card 15 lets us know when they are serious enough to require attention. When you see the Devil, examine your assumptions carefully. Make sure you are not working from a false picture of yourself and the situation. Hold fast to the highest vision of who you are.See also the Fool's Journey.
maj16|The Tower is an unsettling card. Fire, lightning, falling on jagged rocks - definitely looks like trouble! Card 16 will not be welcomed by those who dislike change. It represents a sudden, dramatic upheaval or reversal in fortune. Usually change is gradual, giving us time to adapt, but sometimes it is quick and explosive. This is the action of the Tower.In films, the hero sometimes slaps someone who is groggy or babbling. Having tried everything else, he finally resorts to a sharp sting to snap him out of it. Sudden crises are life's way of telling you to wake up. Something's wrong, and you're not responding. Are you too full of pride? Expect a blow to your ego. Are you holding back your anger? Expect the dam to burst. Are you stuck in a rut? Expect a surprise.How you respond to the Tower's change makes all the difference in how uncomfortable the experience will be. Recognize that the disruption occurred because it was needed. Perhaps embracing the change is too much to ask, but try to find the positive in it. In fact, you may feel tremendous release that you have finally been forced in a new direction. You may have a burst of insight about your situation and reach a new level of understanding about it.See also the Fool's Journey.
maj17|People have always looked to the stars as a source of inspiration and hope. There is something about their twinkling light that draws us out of ourselves and up into a higher plane. When we turn our eyes heavenward, we no longer feel the distress of earth. The Star reminds me of the clear, high voice of a soprano. There is something otherworldly about it. All the harshness and density of everyday life has been refined away leaving only the purest essence. After being exposed to the Star, we feel uplifted and blessed.In readings, the Star is most welcome when grief and despair have overwhelmed us. In our darkest moments, we need to know that there is hope,that there is light at the end of the tunnel. The Star is the opposite of the Devil who strips us of our faith in the future. Card 17 holds out the promise that we can eventually find peace of mind. The Star also reminds us to open our heart and release our fears and doubt. If you have been holding back in any way, now is the time to give generously. It is important to remember that the Star is inspiring, but it is not a card of practical solutions or final answers. Truly without hope we can accomplish nothing, but hope is only a beginning. When you see Card 17, know that you are on the right track. Your goals and your aspirations are blessed, but to realize them, you must take positive action. Use the light of the Star to guide you in your efforts.See also the Fool's Journey.
maj18|If you look around the room right now, you will (probably!) see people and objects that are comforting in their familiarity. Everything is exactly as you expect it to be. You know that if you closed your eyes and opened them, the room would be the same. But...have you ever lost the familiar to find, in its place, a world so extraordinary you can't even grasp it? This is the experience of the Moon.Most of the time we live in a tiny pocket of normality that we wrap around us like a security blanket. We turn our backs on the mysterious universe that waits outside. From time to time we may sneak a peak with our imagination, or venture out through fantasy or expanded awareness. We can be thrust out there unprepared through drugs, madness or intense experiences such as battle.The Moon is the light of this realm - the world of shadow and night. Although this place is awesome, it does not have to be frightening. In the right circumstances, the Moon inspires and enchants. It holds out the promise that all you imagine can be yours. The Moon guides you to the unknown so you can allow the unusual into your life.Sadly, we are usually afraid of the Moon. In readings, this card often stands for fears and anxieties - the ones that come in the darkest part of the night. Card 18 also stands for illusions. It is easy to lose our way in the moonlight. Be careful not to let deceptions and false ideas lead you astray. Sometimes the Moon is a signal that you are lost and wandering aimlessly. You must find your way back to the path and your clarity of purpose.See also the Fool's Journey.
maj19|Brilliant. Radiant. Sparkling. So many of our words reflect (!) the power and glory of light. When we turn on the light in a room, we illuminate it so that all the dark corners are visible. When we turn on the light in our minds, we are enlightened. We see clearly and understand the truth. Both within and without, the energy of light expands our limits and makes us shine.Throughout history, people have honored the Sun as the source of light and warmth. In the myths of many cultures, the Sun is a prominent god - full of vigor and courage.  He is the vital energy center that makes life on earth possible. In the tarot the Sun also symbolizes vitality and splendor. The Sun is definitely not a meek and retiring card.In readings, you will understand Card 19 if you imagine yourself to be a Sun God. How do you think and feel? You have total confidence in yourself. You are not cocky, but profoundly sure of your power. You have unlimited energy and glow with health. You have a greatness about you and stand out brilliantly. Finally, you see and understand all that is happening within your sphere. When you see this card, know that you will be successful at all you undertake. Now is the time to let your light shine. See also the Fool's Journey.
maj20|"On Card 20, we see people rising up at the call of an angel. It is Judgment Day, when the faithful are brought to heaven, but what about those who are not saved? Have they been judged and found wanting? For their sins, will they be denied the presence of God? It is this aspect of judgment that is unsettling. How can judgment be reconciled with forgiveness?In fact, judgment comes in two forms. The hurtful kind says, ""What you did is wrong, and you are bad and worthless for having done it."" This type of judgment separates and leaves no room for redemption. It is possible to judge without condemning. We assess the matter, weigh all sides and try to discern the truth. We recognize the need to choose and hope for the courage to do so wisely - but without blame.In readings, Card 20 can be a reminder that judgments are necessary; sometimes you must decide. At such moments, it is best to consider the matter carefully and then commit yourself without censure. If you are being judged yourself, learn from the process. Take what is of value, correct what needs correcting, but never lose sight of your worth.Card 20 also stands for the feelings that come with salvation. When the angel calls, you are reborn - cleansed of all guilts and burdens. The past and its mistakes are behind you, and you are ready to begin anew. You may even feel a calling - a personal conviction of what you are meant to do. If you are in a low period, in need of hope and absolution, Judgement can show you that renewal is at hand. See also the Fool's Journey."
maj21|It's Thanksgiving Day. You've just finished a delicious meal, and there's a hot mug of coffee in your hand. Friends and family are arguing about the latest fiasco, the baby's cooing at you from across the table, and your feet are rubbing the belly of a devoted mutt. You're happy, fulfilled and truly thankful (at least until you have to start the dishes!). For this moment, the World and everything in it is yours.We all recognize this feeling. It can come at any time or place and is always welcome. We can feel it at home raking the leaves or on the world stage accepting the Nobel Prize. It can seem quiet and simple, or wild and glorious. What is this feeling, and where does it come from? Card 21 can help us find out.A major element of happiness is wholeness - the sense that everything is working together in harmony. Not in a static way, but with dynamic balance. Involvement is also important. To be happy, we must feel connected - engaged with what is around us. There is also accomplishment - knowing that we have goals and are moving toward them successfully. When all these elements come together, we feel fulfilled and blessed.The World represents these moments and all that goes into them. In readings, it is a very positive sign that you are in a position to realize your heart's desire. What that is for you depends on the situation, but it will always feel great. Remember, though, that Card 21 is a symbol of active contribution and service. To hold the World in our hands, we must give of ourselves to it. That is the source of true happiness. See also the Fool's Journey.
titlew|-
wa|The Ace of Wands is a symbol of possibility in the area of creativity, excitement, adventure, courage and personal power. In readings, it shows that a seed of bold enthusiasm has been planted in your life although you may not yet recognize it. When the seed sprouts, it could take almost any form. It might be a creative idea, surge of optimism or need to act boldly. On the outside, it could be an offer, gift, opportunity, encounter or synchronistic event.When you see this Ace, examine your life to see how its potent, confident energy could work for you. Be daring and brave. Sometimes you have to risk to get what you want. Look for the path that will excite you and push you beyond your limits. Seize the initiative, and let your enthusiasm take you to new heights. Wands are the suit of individual power and fulfillment. This Ace tells you that a time of passion is beginning. You will be able to assert your best for all to see. The Ace of Wands is also the card of creativity. Under its influence, you can become a conduit for inspiration and invention. Forget tired, worn-out solutions. You have the chance to be original. Trust your own creative potential, and there will be no end to what you can achieve.See also Lesson 13.
w2|The Two of Wands glorifies individual courage and greatness. This card taps the same energy as the Magician, but with one important difference. The Magician represents the archetype of power - the impersonal energy of creativity and strength. The Two of Wands stands for that power brought down to Earth and made personal. Personal power is an invigorating force that fills you up and lends you the courage to be great. A powerful person is like a magnet that attracts all those within a certain area.True power always comes from the Divine. It passes through us and then flows out into the world. When we understand this relationship, we are blessed because this flow brings with it a tremendous feeling of expansion and fulfillment. We feel as if we can accomplish anything. Problems develop when we forget that we are not the source of power, only its conduit. We must be careful not to let the intoxicating feelings that come with power overwhelm our good sense and blind us to our true desires and intentions.In readings, the Two of Wands indicates that power is a major issue in the situation. You or someone else has it or wants it. When you see this card, look carefully at your goals and activities to make sure you are using power wisely. Don't support power for its own sake, but enjoy it when it serves your worthwhile purposes. Take this gift and use it to mold your environment in positive ways.The Two of Wands can also stand for an extra dose of daring and inventiveness. When you see this card, trust that the time is right for the bold, creative move that will knock their socks off. Forget subtlety and old, tired approaches. Allow yourself free rein and you'll be amazed at the results.
w3|On the Three of Wands, we see a figure standing on a cliff looking out over the sea to distant mountains. From this height, he sees all that lies ahead. This is a card of vision and foresight. When we want to see farther, we climb higher. By going up, we increase our range and remove ourselves from the immediate situation. We detach and gain perspective.In readings, the Three of Wands can tell you to take the long view. Don't react to the heat of the moment, but step back and reconsider. See how the present fits into the greater picture. This card asks you to be a visionary - to dream beyond current limitations.  It can indicate premonitions or other intuitions about what is to come.Taking the long view is an aspect of leadership - another meaning of the Three of Wands. When we see far, we have the knowledge to guide others to their best future. Someone who knows the way can show it to those who follow. When you see the Three of Wands, know that now is the time to accept your vision and be confident that you can lead others to it.A leader not only sees far, but he is willing to go there first, if necessary. The Three of Wands is also a card of exploration. Compare this figure to the Fool who is also on a cliff edge. The Fool steps out in innocence, not realizing he is going to fall to his fate. The adventurer on the Three of Wands is also willing to step out, but with full awareness of what he is doing. His courage is more informed, if less spontaneous. The Three of Wands encourages you to move fearlessly into new areas. Let the ships on your horizon take you far out into unknown seas.
w4|"Do you remember the thrill you felt as a child seeing your birthday cake alight with candles? Or waiting to get on a roller coaster? Or slow-dancing with your first love? This bubbly, high-as-a-kite feeling lies at the heart of the Four of Wands. As a toddler, my son expressed it through his ""Happy Dance."" He'd run in place faster and faster, barely able to control his delight. Of course, as mature(!) adults, we contain this feeling, but it never leaves completely. Each of us still has an excited, little kid inside waiting to come out.In readings, the Four of Wands often represents the events and experiences that generate excitement. These vary from person to person, but the stirring feelings are the same. Sometimes such times arrive unexpectedly. The Four of Wands can signal a surprise or spontaneous thrill. Other times this card represents planned celebrations, such as weddings, anniversaries, birthdays, and victory parties. These events have their solemn side, but they are also a chance to feel the joy of living. The Four of Wands often means freedom. Freedom can take many forms, but it always brings with it an exhilarating feeling. When we break the bonds that bind us, whether physical, mental or emotional, we feel triumphant and able to move on to a new period of growth and happiness. If you feel trapped or restricted right now, use the energy of the Four of Wands to launch you into freedom. Do not be afraid to claim the open vistas that are rightfully yours."
w5|You wake up and stub your toe going to the bathroom. You're in the shower and find out there's no soap. At breakfast, you get juice on your shirt. When you get to the car, your battery is dead. It's going to be a terrible, horrible, no good, very bad day [note]. You're beset by hassles - those petty annoyances that are infuriating because they are so minor.The Five of Wands stands for times when your environment seems to be fighting you. Nothing flows smoothly; everyone is working at cross-purposes. The figures on this card are all batting at each other. There is no coordinated effort, no agreement. When this card shows up, be prepared for a bumpy ride. You're going to need extra patience and perseverance to get to the point where you can accomplish something. The Five of Wands does not represent major blockages, just many small, irritating ones.This card also stands for competition. In the right circumstances, competition is useful. It fosters extra effort, generates excitement and encourages the best. When the Five of Wands appears in a reading, check for competitive elements. You may be involved in a contest, race or game. You may discover you have rivals who are opposing you or challenging your position. You may feel disheartened (or invigorated!) by the dog-eat-dog environment you find yourself in. At its heart, competition is divisive. Make sure it is helping you and others reach your true goals. Otherwise, work toward cooperation.
w6|The Six of Wands is the minor arcana counterpart of the Chariot. Both of these cards represent moments of victory and triumph. Sometimes in life, all we want to do is win - to be number one. You can see this dream in the faces of athletes, politicians, and other champions as they step into the winner's circle. It's all been worthwhile. I'm the best. I've won!In readings, the Six of Wands appears when you have been working hard toward a goal, and success is finally within reach. The recognition you have sought so long is yours. Now you can receive the acclaim, honor and reward that you deserve. If you do not feel close to victory now, know that it is on its way provided you are doing all you can to make it happen. The victory of this card does not have to involve beating someone else. You can triumph over yourself, the environment, or the odds.The Six of Wands also represents a healthy self-esteem. Feeling good about your accomplishments is an important part of success, but too much pride can lead to arrogance and self-inflation. When you see this card, check that you are not feeling superior to others.  It is easy to forget that individual achievement is not really individual at all. Our talents begin in the Divine, develop with the love and support of others, and only in the end express through us. How can we indulge in excess pride?In The Purgatorio Dante considers pride the first and greatest sin that must be overcome by souls reaching toward heaven. When the Six of Wands appears, enjoy your triumph, feel good about yourself, but remember Dante's words:O gifted men, vainglorious for first place,how short a time the laurel crown stays green............................................A breath of wind is all there is to famehere upon earth: it blows this way and that,and when it changes quarter it changes name.
w7|The Seven of Wands is all about taking a stand. Taking a stand is a forceful act that changes the energy flow of the world for good or ill. Most of the time we flow with our lives as if on a river. Events and feelings carry us forward with little effort. Sometimes, though, we are not content to drift. We want to resist the flow, or change its course entirely!The figure on the Seven of Wands appears to be in a battle. He's either attacking or under attack, probably both. When we decide to take a stand, we set in motion an energy of resistance. When we take up a firm position, others do the same. The Seven of Wands stands for aggression and defiance because they are two sides of the same coin. You attack; your opponent defends. He counterattacks; you defend.Some battles are worth fighting, others just cause trouble. If you are involved in a conflict, ask yourself if it's worth the struggle. Is it important? Does it have value? Will the outcome serve you or others? If so, be bold and aggressive. Defend your position. Refuse to yield! If not, then consider letting the conflict go. Be honest with yourself about this. You will be tempted to hold onto your position, especially if you have invested much time and energy into it. Don't let battle lines be drawn unless the war is worth fighting.The Seven of Wands can also indicate strong convictions. In order to take a firm stand, you must believe in your position and yourself. You'll need integrity and strength of character to see you through. If your cause is just, use the energy of the Seven of Wands to make a difference.
w8|In the film The Ten Commandments, Moses touches his staff to water to set a plague in motion. His staff is the agent of power that initiates events. Moses' staff reminds me of the wands on this card. They are a symbol of the onset of action and its effects. Before acting, we think, imagine, speculate, talk and dream. This is the realm of air - the sky. Then, finally, we decide to make our move. We bring our ideas down to earth and put them into action.In readings, the Eight of Wands is often a sign that now is the time to declare yourself. All the elements are ready and will work for you as long as you don't hesitate. The iron is hot - so strike! If events are in motion, they will proceed rapidly. You may feel caught in a whirlwind, but soon the dust will settle, and you see how your plans have fared.The Eight of Wands also stands for the arrival of news or information. You may see or hear something important. The news could show up in a disguised form, so stay alert. Pay attention to everything that comes your way for a while.This card also signifies endings. Sooner or later all activities run their course. The eight wands on this card not only symbolize putting events into motion, but also bringing them to a close. They appear to be ending their flight by coming down to earth. If you see the Eight of Wands in a reading, it may be time to conclude whatever you have been doing. Celebrate the past, but prepare to move on to something new. 
w9|"The figure on the Nine of Wands has definitely been through tough times. His head and arm are bandaged, and he's leaning on a ""crutch."" This fighter has seen some battles, but he's still standing! He's hurt, but he's not down. When we have had a bad experience, we feel weary and battle-scarred. Even if we aren't hurt physically, our psyches are wounded. Our openness, innocence and trust are gone, replaced by wary defensiveness.In readings, the Nine of Wands can be a warning that you must proceed carefully. Keep a watchful eye because there is the possibility that you will be hurt. If you have already been burned, you know what this man is feeling. Life's lessons can be hard sometimes, especially when hopes have been dashed. It is natural to feel defensive at such times, but try to avoid becoming bitter. Your experience has wounded you, but it has strengthened you as well.Strength is the other aspect of the Nine of Wands. This fighter is tough! He has the physical stamina and the inner drive to persist despite all setbacks. In The Terminator, Arnold Schwarzenegger plays an android from the future who never gives up.  In the end he is nothing but a wire framework with glowing eyes, but he still keeps coming - dragging himself along the floor to his goal. This is the spirit of the Nine of Wands. This card tells you to keep going no matter what. Even if everyone and everything seems to be against you right now, don't give up. Within you are the hidden reserves you need to prevail."
